Company,Domain,Number of Reviews,Trustscore,Combined_Score,5 stars reviews percentage,4 stars reviews percentage,3 stars reviews percentage,2 stars reviews percentage,1 star reviews percentage,Company VADER Sentiment Score,Company TextBlob Sentiment Score,Company BERT Sentiment Score,review_id,Review Stars,Review Comment,Review Length,Company Response,VADER Sentiment Score,TextBlob Sentiment Score,BERT Sentiment Score
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,fb7c8bd36f0c48185e7321ddf42f7b4c,5,The holy grail of bitcoin ,5,,0,0,1
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,489032201880cb66136dfdca9634183e,5,The live chat feature is super helpful for getting quick answers.,11,,1,1,1
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,38f27a1aece52a19b6b4dd158e542dbf,5,The quick purchase feature for Bitcoin is a game changer. Got my crypto in less than 10 minutes.,18,,0,0,1
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,9f97ef6471dfaab58b26a20b1521af08,2,They can improve by giving to the poor every now and then on thanks giving,15,Company has responded to this review.,1,0,1
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,a9eedfba3afac0a05fdffb478d2dda6e,5,Took 5 minutes to verify myself and then I bought some Bitcoin and USDT,14,,0,0,0
Anytime Capital,anytime-capital.com,16,3.9,2.65532,88.0,0.0,0.0,6.0,6.0,0.66667,0.6,0.8,3f8d44262446187b153772a3e7c4ddb9,5,WOW! I bought bitcoin on their website as a first time user in 5 minutes. I was pleasantly surprised they let me withdraw it to my external wallet right away too. Most exchanges have given me issues paying with my Wells Fargo bank account but Anytime Capital had no issues. The fees are pretty average so I plan on returning to buy more crypto. I prefer this over coinbase as those guys fees have been crazy lately.I heard that they have ATM's too so I may try that next time since I am local in Atlanta.,96,,1,1,1
ATM Together,atmtogether.com,2,3.2,0.67368,50.0,0.0,0.0,0.0,50.0,0.0,-0.5,0.5,2faffd1031aa9c291cb4c705e6cb23d1,5,The only reason I’m not sure is that ,8,,-1,-1,0
ATM Together,atmtogether.com,2,3.2,0.67368,50.0,0.0,0.0,0.0,50.0,0.0,-0.5,0.5,d9d6f8177cf403cd5be1fb031a62c93e,1,"This is a company with some great speakers to get you involved and very little afterwards. They offer you a package to “do the work for you” which is very enticing, but also something that is far easier to do on your own than they make it sound. Opening a bank account isn’t difficult, you have to create your LLC yourself anyway, and they do provide you with videos for most things related to your machine and getting started, which has been one of the most helpful things they provide.They will find you a bank, which honestly is not that difficult, set up the processing company - the only part that I feel was useful about the whole thing, and find you a location. The location finder service is very bad about setting you up meetings with places without first checking your availability or blatantly ignoring it, causing you to then have to call the company and explain to them that you cannot make the appointment that had been set up with them and try to make a new one. They will set up a group chat of dedicated people to help you and any question that you ask will immediately be responded to by multiple people saying “looping in @____” to the person you’ve already tagged in your question before getting an answer, and half the time I’m not even sure these are real people in the group chat.  They offer a Facebook group with other people with businesses where you can ask questions and get advice, but if your question looks bad on a location of theirs, the admin won’t even approve your post. They offer a guarantee of your machine either creating an income of $200/month or the option of offering you a replacement location OR $1000 of your money back, seriously pressing that the better deal is for them to find you new locations so that you will have multiple machines. However, if you take them up on this, they will inform you that by having purchased a new machine for the new location rather than relocating the original one, that you’ve voided this guarantee and will only find you one more location instead of the maximum of either 3 or 5 outlined in the guarantee. The location finder service guy has gotten passive aggressive with his answers regarding areas that I have specifically asked to avoid, and honestly if I could go back I wouldn’t have ever invested anything into this company. ",417,Company has NOT responded to this review.,1,0,1
ATMDepot.com,atmdepot.com,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84e64c6cf22f36f509321149d3158098,0,,0,,0,0,0
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,6eec2779dee0c687768dffb7cf4ee7aa,1,"attempted to use the atm using my commbank debit card, as soon as I insert the card machine says nothing but simply sollowed my card. No place to contact, tried calling thw number provided on the machine, there is an automatic response askimg me to contact bank. My bank knows nothing.",51,Company has NOT responded to this review.,-1,0,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,078ca12072a556f524bb28ea171c5e9f,1,"AVOID these machines at all costs! I've had two brand new ANZ cards get eaten up by these useless machines. Twice in Hervey Bay at different locations. Each time the screen is normal then as soon as it took my card a message came up on screen saying "" service unavailable at this time"" and took my card! Didn't dispense it back and nothing saying there was a problem. Pin was put in correctly. I am quite concerned seeing these machines are now replacing the actual bank machines. If you need to take cash out go somewhere that takes eftpos cash out. I will never use this machine ever! The stress it caused me both times is not worth it. Rang armaguard who provides these machines only to be told ""machine eats the card you can not get it back, you'll need to go to your bank provider and order a new card"". First time this rubbish machine ate my card I did just that. Only to have to order another card again after the second time. Absolute BS. STAW AWAY!",181,Company has NOT responded to this review.,-1,0,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,a537b0ce8c7ac77de8fcad13dc638752,1,Card swallowed with no apology or compensation - “contact your bank for a new card”.This company stole my card with no consequences for them and lots for me. This is mega capitalism and this company should be investigated at a federal fraud level.,43,Company has NOT responded to this review.,-1,1,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,930231f537e5a5ee15b3ee8ac1121399,1,"Literal scam cuh, like how is this even allowed yameen. Took my card and thats it. Called their company ""nothing we can do about it, call ur bank"" how bout u call the lawyer coz wth cuz, yall finna need saul. Literal scam and should be notified to someone to shut these foos down no kizzy.",56,Company has NOT responded to this review.,-1,-1,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,6f0837a6d6a6f54774395a12cfcf3348,1,"Machine ate my card and after calling the customer service line the service representative decided I couldn’t get my card back and would have to cancel it. No help at all. Was forced to cancel my card on the spot to ensure no one could gain access to it, major security risk that the customer service representative wasn’t bothered by.Will never use again.",63,Company has NOT responded to this review.,-1,0,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,52d4ffe5ae7d57f43205a2e1168e958b,1,"Machine retain my card for no reason Concerned Australian Authorities should look into the system of Machine . is it a scam or what . machine ate my card of no reason ,just message poped up to contact financial instituation . after me another customer came and inserted her card and same thing happened to her . strange thing for me was  if one card is stuck or eaten inside , how come other card inserted and got also stuck . this is insane . stay away from these card eating monsters",92,Company has NOT responded to this review.,-1,-1,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,27f9bd90f718da15c833b288563a530e,1,On the 21st July -the ATMx located at Centrepoint Shopping Centre in Dunsborough WA swallowed my $1000 cash withdrawal back into ATM. A message was displayed on screen saying I was too slow taking cash. I assumed transaction was cancelled so tried again but it was recorded as a transaction so couldn't access cash. There is no-one to contact from the company and have had to lodge a dispute with ANZ bank who so far have been unable to recover money and a month has gone by. I have CCTV saved to back up my version of events.,98,Company has NOT responded to this review.,-1,-1,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,7f03566331987f1982d9cbaded049bb0,1,"Used it to check my balance, there was no warning that it would cost 60c per time you checked.Literal theft.",20,Company has NOT responded to this review.,1,0,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,68d378ae12496b8bc35f20815c74d9d0,1,"Was charged $3 for a withdrawal but the machine said it was unable to issue any cash  so i was charged for a non transaction, never again, what a scam.Avoid .",31,Company has NOT responded to this review.,-1,-1,-1
Atmx,atmx.net,10,2.0,1.14286,0.0,0.0,0.0,0.0,100.0,-0.8,-0.3,-1.0,6fd0557052ccff1271de50496fd29ff8,1,"Went to get a cash out. The machine said it could not dispense money, buy took it out of my account anyway. Happened to us twice now, and both times when we call atmx, they take no responsibility and demand we talk to our bank instead. Avoid these. I know I will.",52,Company has NOT responded to this review.,-1,0,-1
Battlebit,battlebit.co.in,1,3.2,0.37647,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6466224f29e12e0d13f539fbab09b4d1,1,"Не выплачивает и платить не собирается,скам капитальный,не рекомендую,зря потерянное время!",10,Company has NOT responded to this review.,0,0,0
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,601c804b8cdcc1534aa1b63dee67d23f,1,"**WARNING: AVOID BITCOIN DEPOT AND THEIR KIOSKS**I strongly urge anyone considering Bitcoin Depot to think carefully before proceeding.While their kiosks advertise a $3 transaction fee, this is misleading. Many users, myself included, assume that the displayed amount accurately reflects what will be credited to their wallets. After inserting $200, I was shocked to receive only $139—an astonishing 31% loss!The real issue is that Bitcoin Depot appears to rely on the assumption that most customers won’t double-check the BTC amount displayed. They present their fees in a way that seems straightforward, yet hidden and misleading fees are obscured, creating the illusion of a fair transaction. This practice can result in significant financial losses for unsuspecting users.Charging hidden and misleading fees is a serious problem, and companies like Bitcoin Depot should be required to display the full price upfront, including all applicable fees. Transparency is essential for consumers to make informed decisions and avoid being taken advantage of.To protect yourself, always verify the BTC amount displayed on the kiosk before finalizing your transaction. A quick online search for ""BTC to USD"" can help confirm if the amount you’re receiving is accurate and confirm if your being shortchanged.Moreover, beginning July 1, 2024, the “Honest Pricing Law” (SB 478) will make it illegal for businesses to advertise prices without including all required fees, excluding certain taxes and shipping costs. This raises significant questions about Bitcoin Depot’s pricing practices and compliance with consumer protection laws.While they claim that all fees are clearly displayed and that customers must agree to their terms, this does not absolve them of the responsibility for the confusion many users face. Their system can easily mislead those who are not familiar with cryptocurrency transactions.In conclusion, if you choose to use Bitcoin Depot, proceed with caution. Protect your hard-earned money by being proactive and informed. I highly recommend exploring alternative services that prioritize transparency and fair pricing. Your financial security is crucial—stay vigilant and informed.",323,Company has NOT responded to this review.,1,1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,c1fb0691ae8cd6af4d13835080a961c0,1,0 stars this app crashed my phone . Don't not download.  They the dumb ass customer service.  Oh call your phone company.  This will ruin your phone hopefully this helps before u waste your money,35,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,678b7c4f8eea3b9bc2f93a21c6bd3e5b,1,10 hours and I’m yet to receive my bitcoin!! What the hell is going on. Huge fees and still delayed transaction,21,Company has NOT responded to this review.,-1,1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,009eeab423289199eb3178380875a89b,1,300 dollars I spent I received 200 dollars worth of bitcoin. Ridiculous!!! Never again.,14,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,7594161257b37a47a2395f8eb25c9ef4,1,Buy 100 in bitcoin? OK goy. They will charge you over 30 dollars to do it. These guys are what makes bitcoin such b.s. Just stay away. Scam scam scam. ,30,Company has NOT responded to this review.,-1,1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,6f8b82f4e4363a043713a7f0c384ff43,1,"Buyer beware!! these scam artists charge 28% transaction fee at their ATMS. Thats right, for every $100 you insert into the machine they steal $28. They do not tell you at the ATM or their website that their costs are more than double some of the other bitcoin ATMs. I called customer service to tell them they must have made some mistake when I saw how much bitcoin made it to my wallet.. its a joke.. if you got scammed by this company please leave a negative feedback on here. Eventually these crooks will burn and die once people figure their scam out!",103,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,963b250247a337aeefcfe7b8a729305d,1,Charged me over 100 dollars in “fees” buying 300 dollars in bitcoin. This place is a scam!! Do not use !!!!!! Report this place as a scammer. This place is a scam ,32,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,ba095ed377100a93cc629d0ed02f3304,1,"CRAAAAAPP I SHOULD HAVE CHECKED HERE FIRST OH MY FREAKIN GOODNESS!! I was about to deposit $5,000 CASH at an atm near me! Something told me to tread lightly so I only deposited $750. I saw there was JUST a $3 fee which is also stated on my receipt. I get back home to check the bitcoin transaction on my wallet, MAN THEY STOLE $174.92 FROM ME!! I sent a text and email to support they SAY ITS ON THE ATM WHICH IS A WHOLE LIE!!!! If I’d seen “WE CHARGE A 28% MARKUP”, I WOULD HACE CANCELED AND TOOK MY CHANCES BUYING ONLINE AT CRYPTO. COM WHERE THEY OFFER ZERO FEES FOR SEVEN DAYS! So you mean to tell me you would’ve stolen $1,400 from me?!?! lol you almost had me!! My husband is about to be PISSED once he comes in from mowing the lawn!! This company and all of their staff are thieves!!I’m gonna take this lost but I WILL NOT RECOMMEND ANYONE TO USE YOUR COMPANY FOR ANYTHING AND I MEAN ZILCH! THIS IS A TERRIBLE COLPANY AND I WILL SEE TO IT THAT YOU GUYS GET SHUT THE HECK DOWN!!",195,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,3e8570824ea845b153fa3f49faecdb0c,1,"Decided to try it out, didn’t want to drive all the way to Walgreens to load my cash app. They took out way more than the 3 dollar service fee and the transaction took longer than an hour or so. The kiosk is super slow. Do yourself a favor and use cash app for cash to bitcoin. I don’t know how these guys are still expanding and even got an IPO. I see no growth in this industry , total ripoff. Idk why they even call it an ATM when last time I checked you most likely use an atm to withdraw cash , not just take it and take huge fees",112,Company has NOT responded to this review.,1,1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,1ca611eb49479776babc90dba79ef16f,1,"DO NOT USE BITCOIN DEPOT'S KIOSK MACHINES. THEY WILL RIP YOU OFF. THEY DO NOT TELL YOU WHAT THE SERVICE FEE WILL BE AT ANY TIME. THEN AFTER ITS ALL SAID AND DONE, YOU GET A RECEIPT THAT SAYS ""SERVICE FEE   3 USD"" WTF IS THAT SUPPOSE TO MEAN? WELL IN MY CASE THEY CONVENIENTLY FORGOT TO ADD TWO ZEROS. THEY CHARGED ME $300! VERY DECEITFUL, SHADY AND STRAIGHT UP THIEVES! WHY ARE THEY STILL IN BUSINESS??? ",77,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,96bb61f000c1f231e44042872606fe70,1,"Do NOT USE BITCOIN DEPOT.comThere was no where on screen did it ever say what the cost would be to buy BTC and what I would receive as with other BTC ie CASHAPP.I purchase6 5,125.00 in BTC once it posted to My wallet it was $3,921.00In calling I was told that it showed onscreen the % it would apply …FOR CRYING OUT LOUD HAD I SEEN THIS ON SCREEN NO ONE   IN THEIR RIGHT MIND CERTAINLY I WOULD  HAVE NOT MOVED FORWARD WITH SUCH A PURCHASE… unless they simply do not care or were desperate of neither was I.In calling they say they charge from 20-28% per transaction depending on the location (country state city) this is ludicrous seriously they make a simple process so costly for end the user.This is absolutely HIGHWAY ROBBERY.I WILL NEVER EVER EVER USE THIS SERVICE AGAIN AND WILL BE SPREADING THE WORD OF THERE OUTRAGEOUS FEES THAT I DO NOT RECALL SEEING ANYWHERE… on SCREEN WHEN TRANSACTING MY BUSINESS. As was told  me by the customer service support rep.",175,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,d700f779dba11c0701a625289db93354,1,Do not use this service ! They promote a $3 transaction fee clear as day but they do not promote the 28 percent service fee. At the end of transaction it will tell you the amount you’re receiving s a Bitcoin amount and not as a usd amount that it conventionally shows the entire time until the end. Once your money is in machine there’s no way to stop or reverse it. I placed 9000 in a machine and they only sent 6950. There are way better options ! I called customer service and they acknowledged the fee isn’t posted prior and acknowledged it’s not posted in USD.,108,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,269fcca8b97c25631b32d536666f4d02,1,"Drove to three bdcheckout locations. The purple icons. I select the address from the app, select load cash and prepare my barcode. Each retailer refuses to scan the barcode. I can’t get my funds. Bdcheckout and bitcoin depot are scams.",40,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,c75d2c88637ed1f5e9b0ac7e5d0c4f08,5,"Easiest Bitcoin ATM I have ever used, Bitcoin was in my wallet instantly.",13,,1,0,1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,2c0eb16fce03509c797e15e6810abf2f,1,Got an email from them saying that they  will give me $5.00 in return for me signing some petition to some senator in California. So I did. This was on Aug. 19 now 28 days later and 50 emails later I have nothing. $5.00 isn’t enough to worry about but to me it’s the integrity if you aren’t going to honor your word of service then you should not even be in business.,73,Company has NOT responded to this review.,1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,24ec1e268f9fd709a291d2c52abe0d3d,2,"Had no problem using the physical ATM, even though the rates are high, but the APP is so difficult to navigate. People told me that I should be able to transfer cash in no time, but I couldn't find any way to do so. There's definitely better options our there, sending them luck to more improvements. ",56,Company has NOT responded to this review.,1,1,1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,b764dc4b7553b617bab762dfaab74971,1,"I bought $5,300 in Bitcoin, the receipt shows a $3 fee but the screen never shows the additional fees or the percentage. I only got 3,810 equivalent to a 28% fees. This is ridiculous. This company is charging wait too much money for the service that is not even disclosed before you but the Bitcoin. It's not fair to charge that much in fees.I'd never use it again and I will not recommend anyone using them.",76,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,a681724dd80d159c085d5dbb2f31f1d6,1,"I have driven to every BTM within 100 miles of where I live, called customer service dozens of times and filed a complaint with the BBB. They claim that you can cash out but it is impossible at a BTM as they claim on their website. Absolute fraud! Stay Away from them!",52,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,2162998389106e8162aa902291479083,1,"I have never used any kind of bitcoin atm before. I was having issues buying btc online because my bank account had funds processing. I was able to take out the cash and I went to the btc atm. I followed the prompts and signed up for using the machine. I purchased $2300 of btc and sent it to my coinbase wallet. About 30 minutes later I got a text saying that the deposit was completed. However my wallet on received $1621!! I called the phone number to which the person who answered said that it's in their terms of service how much of a fee they charge... Meanwhile, you get a receipt saying you have a service fee of $3.00. Nowhere was there anything saying they would take 17-50% of the purchase depending on the location! This HAS to illegal! They took $680 from me!! There is literally no reason they should charge a fee other than the network fee which would NEVER be that much! They are thieves and I can't believe they are allowed to run an operation like this. ",183,Company has NOT responded to this review.,-1,0,0
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,01889c0c4466a6f6914c752bdceac3d0,1,"I tried using a Bitcoin Depot ATM and it was a horrendous experience. They are deceptive in the fees that they charge, which end up being a very high 22%. They do not offer any refunds and the customer service is truly awful. What a huge scam. Avoid this company at all costs!",53,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,acad58cd0143b037e7d3d8e2d80d7b76,2,"I wanted to give it 1 star, but in all fairness, I did receive some of my bitcoin transferred to my Cake wallet. I used their atm at my local Circle K gas station. I had already watched a couple tutorials on Youtube, and I had already looked at the various brands of Bitcoin ATM's at the different gas stations and Walgreens, as well as CVS in my neighborhood. I went through all the steps, and I saw there was a $3 fee for my transaction. I inserted a $50 bill and everything was good until I received my bitcoin in my wallet later. I received $36.2477 worth of bitcoin. If you do the math, I paid 27.5% in fees to buy bitcoin from them, using my cash. I never saw this fee shown anywhere, nor would I EVER expect such a high fee. I would expect perhaps a flat fee structure such as the one Western Union does.",159,Company has NOT responded to this review.,1,1,1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,ed19b99321b2738713a8717bfa994ff3,1,I was the victim of a scam using a bitcoin depot machine.  The fraud protection department does not have a phone number where you can directly get ahold of anyone to try and reclaim your transaction fees and ask clarifying question to submit to recoup the transaction fees.  They make it as difficult as possible for a victim to meet the 5 day deadline to complete a notarized affidavit and submit it.  I sent multiple clarification questions and yhouncy refused to answer them.  I was ignored by her for 2.5 days and then she waited to respond on another question that had to do with the affidavit until day 6 so that I wouldn't have my claim submitted in time.  They want a detailed submission and only give you 8 lines to write it in.  I stated I would type it up and sign it in front of the notary and attach it.  They refused to say if that would be accepted or not and then rejected my submission before even receiving the police report at the 15 day mark.  They are no better than the scammers and make money off of holding onto transaction fees from scammed money.  Their transaction fees are 23% which is a huge chunk of change in most cases.  They should be held accountable because this seems illegal.  They are not about helping a scammed victim at all.  I've submitted the rejection letter to the prosecutor working my case.,244,Company has NOT responded to this review.,-1,0,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,41f21d18184668a37c2392262b40d596,1,I'm mad no star isn't a option.  This depot is a rip off. They act like their doing people a favor but they are sadly mistaken. I used one of their depots the other night. Going through the process it states there is a $3 charge. So I'm like ok. Boy was I wrong.  The amount that showed up on the screen wasn't what i received.  It wasn't until after I put my money in not only was I charged the 3$ they also took 12%. I put in 40 and got 28$. Like where my money go. Then I contacted them and was told the 28% is on the screen somewhere. But the only thing that was showed was $3.,121,Company has NOT responded to this review.,-1,-1,-1
Bitcoin Depot,bitcoindepot.com,50,1.4,1.21739,6.0,0.0,0.0,4.0,90.0,-0.16327,-0.02041,-0.69388,d12d336ff0652c2cea5f24fc51303ce6,5,"It was easy and quick.   the exchanges are falling so nows the best time to buy with cash and these atms are safe, secure and quick to fund your wallet.",30,,1,1,1
