Company,Domain,Number of Reviews,Trustscore,5 stars reviews percentage,4 stars reviews percentage,3 stars reviews percentage,2 stars reviews percentage,1 star reviews percentage,Review Stars,Review Comment,Company Response
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Casey has been amazing to work with. I have been waiting for a vehicle to arrive for months and through the entire process, Casey has been informative, responsive and friendly. I am a first time customer and I am so impressed. When I told the finance department at the dealership our rate, they said they wouldn’t even try to match it because they couldn’t get close. My husband is a veteran and we really appreciate the rate discount. It’s an incredible thing to do. Thank you for being the bright side of buying a car. ",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"We are long-time Evergreen CU customers, from our checking accounts, auto loans, and mortgages. We've completed several home purchases and refinances over the years, and find the loan servicing easy and reliable.  The Evergreen app allows us to transfer funds between accounts quickly, pay our mortgage, and check the status of deposits easily. We only wish there was another branch in the Scarborough/Saco area for convenience when we have in-person banking needs. Also wish their partnership with the Maine Mariners provided customers with perks, as we are Mariners fans. Thanks!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,The woman in the office to the left as you enter the bank (Julie?) helped us as she could see that the tellers were busy.  She invited us into her office and helped us with a kind and professional manner.  Always a warm and  welcoming experience at the South Portland branch. We are excited about the new branch in Scarborough opening.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"We like having our financial services locally. We have been With Evergreen Credit Union for over 30 years. They have very knowledgeable representatives who go out of their way to help us. They are truthful with their dealings with us. It is nice to know we can get the solution that fits our needs, at a reasonable price.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I have known about Evergreen Credit Union since my grandmother was a member when it was SD Warren credit union in Westbrook. Evergreen has helped me many times with not only banking but personal & auto loans as well as my family and friends. The staff I have worked with & interacted with at Evergreen are friendly, personable and willing to help whatever my needs might be. I feel good knowing I can make a call and whomever I speak with will try to help or find someone who can, and I look forward to many more year's banking with Evergreen. Thank you!    ",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I just wanted to thank the Evergreen Team again for all they did to assist my husband and I in securing an auto loan. We definitely were not the easiest people to work with our constant questions but their quick, efficient, and friendly attitudes made us feel at ease and comfortable throughout the entire process. I was able to pick up my car the same day after receiving excellent service at the South Portland location even coming in with only a few minutes until close. Im so grateful to have Evergreen, and proud to have them as our trusted credit union!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Excellent customer service!! Helped me with travel concerns with my debit card. Was able to get a credit card in a day! Explained the EGCU App and how it works.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I requested bank statements and the request was fulfilled within 15 minutes. Great customer service! The only feedback I would provide is having a place online to view the statements in PDF format so customers could download them without having to request them in the future. This would remove the extra step of requesting them. ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Sara was excellent today! She was able to explain all the necessary details about changing our account, and was very helpful in terms of knowing how to best go forward. She was very patient, considerate and demonstrated excellent customer service skills. We would recommend her to anybody, thanks so much Sarah",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Anne could not have been more helpful. I have a mystery charge on my Apple account, because of course I do. Anne offered a few different options and helped me sort it out. I have been living in Massachusetts for seven years but I have stayed with Evergreen because of people like Anne. Unlike big banks, Evergreen is staffed by actual humans who live actual real-world lives. Evergreen staff are always professional and don’t always tell me what I want to hear. But at least they’re nice about it.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"We wanted to extend our gratitude to the exceptional team that works at the Riverside Evergreen Credit Union branch. The atmosphere promoted at ECU is inviting, friendly, professional, efficient, and caring. Whether you are making a deposit, lost your debit card, or are taking out a loan... you will be taken care of by this incredibly accommodating and lovely team. Thank you for the many years of exceptional service! ",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Chelsey C has helped me…& continues to help me….as I rebuild following divorce. She is kind & empathetic…she works hard for creative solutions…& has helped me tremendously….allowing me to see the steps I need to take to achieve my goals. She is a true and genuine treasure. ECU is lucky to have her. ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Julie Hamm in Mortgage Servicing is on it!  Twice I have been in need of her assistance and she has gone above and beyond to promptly respond and take care of my financial needs.  I really appreciate her prompt and efficient response when I am in need of assistance. Thank you.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,My call to Member Services was answered immediately. Rebecca fixed my issue promptly and walked me through the process until it was resolved. I appreciate this level of customer service. It is rarer these days and certainly doesn't go unnoticed. Thank you!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"What made my experience great was working with Chelsey Cargen. I was in a bad spot where I needed a new vehicle asap and my income was tricky to nail down for loan approval. Out of the three different loan officers I worked with, Chelsey was by far the most attentive and personal to work with. She helped me get back on the road. I would not work with anyone except her for financing.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I was only asking for 1 or 2 of the 3 overdraft fees as the mistake was ours. However, the manager did all 3 knowing it was an issue of using the wrong card when traveling to Bangor last weekend. Every time I call, the employees are always polite and attentive.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"The staff is courteous, respectful and knowledgeable about my questions and concerns. They are extremely responsive whether in person or on the phone.  They always thank me for being a customer. I was with a bank for 45 years prior to joining Evergreen and never felt appreciated the way I have since joining Evergreen. I have already referred a number of friends to join. ",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I was anxious when I called egcu.org on Monday March 30, 2024.  I spoke with Sara Adams and an IT person (Paul?). Sara is an asset to the establishment, helpful and knowledgeable. I want this commendation to be part of her permanent personnel record and for her to be recognized for her fast, courteous service! Thank you Sara.Linda A. McCann",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"They went above and beyond to help me get a vehicle loan. They went out of there way to work with my wife and myself when matching times to communicate were difficult. Everyone I was in contact with whether through phone calls,email, or text were very friendly and very responsive.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Kacie Cannell was so incredibly helpful! I appreciated the effort to make sure I understood and was comfortable with every aspect of the loan application process. She patiently took my calls and answered my emails in a timely manner and was courteous and knowledgeable. Kudos to her! And, well done Evergreen for employing a class act.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I was trying to make my 1st credit card payment. Social Secuerity had changed the date I received my money without telling me. So...I was late paying my cc bill. Got socked with a $25 late charge. I called and spoke with Rebcca in CS in sort of a lather. She was extremely helpful. She took control of the situation. Helped me pay my bill, removed the late fee. Told me how to pay my bill in the interim, and when Social Security decides to figure itself out she will walk me through setting up EFT to pay my credit card and transfer money to my share account.She followed up with a detailed email outlining our conversation and what should happen now and in the future. Definitely a great experience. Thank",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,We have been members of Evergreen credit Union for over 30 years and in that time we have always had amazing service.  Recently we worked with Chelsey Cargen on a LOC and not only did she get it done fast but was great with communication and expectations of the loan.  She made us feel like we were her priority and always with a smile.   She clearly loves her job and we are grateful we had her to guide us.  SUPER CUSTOMER SERVICE IN ALL AREAS.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I had multiple scam charges ending in a negative balance with OD charges and I worked with Rebecca Lanefski and we were able to resolve all my account issues quickly and she was very delightful, knowledgeable, and easy to work with. Thank you Rebecca and thank you evergreen for your support!!!!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Chelsey was truly amazing. She made the purchase of my first vehicle absolutely flawless. As this was the first time I've purchased a vehicle it was also the first time I've been in need of an auto loan. Evergreen's lending dept. was so quick responding to my inquiry on a SUNDAY (I work in banking so that makes me even more impressed) and then Chelsey was with me every step of the way and when she was out of the office, Heidi covered for her stupendously. Everything was so amazing I even ended up giving my car dealer Chelsey's business card as he was impressed with how quickly things had come together and with the rates Evergreen was offering.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I have been with Evergreen Credit Union for many, many years and look forward to many more years.  in all of those years everyone associated with Evergreen has been helpful and a pleasure to do business with and very, very pleasant.  This includes everyone tellers, customer relations people, mid level management, top dogs. I could thank a lot of the staff by name at the credit union but it would include everyone.  I would like to congratulate Evergreen Credit Union for building such a fine organization. Evergreen Credit Union is a wonderful partner and participant in the neighborhood and beyond. Kudo's Evergreen keep up the good work.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Rebecca Lanefski politely answered the call, listened to what I needed. She asked specific questions and responded to what I needed. She did all this in a professional manner. I asked if she could get the information to me in a timely manner and she did just that. If I were in a position to hire more employees she would be on the top of my list.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,From my initial inquiry to securing a membership and vehicle loan (at a very competitive rate!) the process was smooth and easy. But the folks I dealt with (Casey and Chelsey) were outstanding. Quick and helpful replies and very great to work with. For the vehicle loan Chelsey made the preapproval process right through picking up the check about as easy as it can get. She even worked with the dealership on my behalf to keep them straight.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Cassie was awesome.  The original solution to my problem was to come into the banking location.  Cassie noted that this would be an issue as I currently live in Arizona.  She came to a solution that solved my problem while still allowing Evergreen to maintain their protocols.  Such great customer service!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I really appreciate the debit/credit fraud department of Evergreen Credit Union.  They have caught unauthorized use of my debit card at least twice, and had my new card waiting for me at the credit union within half an hour.  All the staff have been very helpful, pleasant, efficient and have saved me a lot of grief by catching fraudulent use of my debit card.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Casey was amazing with the used auto loan & ensured I got 1% Military Discount on the loan rate. Check was ready upon arrival to local branch. ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I was having difficulty connecting my new business account to Quick Books. Paul LeBlond took the time to do some detective work to solve it! It was so nice to work with someone as committed to customer service as Paul. I would definitely recommend.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Amanda and Judy did an amazing job helping us get the information we needed regarding our bill pay issue with our CC company!Thanks so much!Bob Stanhope,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Best credit union ever.easy to work with for new customers like myself they are super helpful and welcoming. I get approved in short time for my son’s first time car loan. to all refugee and asylum like I me I recommend you evergreen credit union .you will be happy .,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Convenient location across from Riverside Auto and open on Saturday morning made it an easy decision to discuss an auto loan with you. And then the team made it so simple and informative for a first time car buyer.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"My Experience with Evergreen has always been nothing but Positive. Judy Brochu was very helpful and professional. I've never had any issues with Evergreen. Thanks again Judy, Dale Anketell.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I applied for a small personal loan with Chelsey Cargen at the South Portland branch. Chelsey made the approval process very easy and communicated important updates and details in a timely manner. I already have a checking, savings and sun select credit card with EGCU and am grateful to be building my credit and savings with a great institution. Thank you!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Sarah was available, kind, prompt, and thoughtful. She explained everything really well and guided us through our first time taking out a mortgage. She moved quickly, the rates she quoted were better than other lenders (sometimes by a whole point!) and she was fun to work with. We couldn't recommend her or Evergreen more highly!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I meet Chelsea in December of 22 by chance from a friend that had introduced us. I came to Evergreen for help with my credit card payments. She was very gracious to help me all the way through so that I could get my cards bundled into one payment. She is very pleasant to work with.  And I am so very grateful for her kind words to help ease me the stress that I was feeling. I will continue to work with her on any upcoming opportunities. Next thing on the list is development a budget plan.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Jennel Berry was such a huge help though out the entire process.  I mentioned during the first meeting that I was nervous, Jennel calmly walked me through the initial process. ",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"This is my third business loan experience with Evergreen Credit Union, and it was flawless. Meghan Dudley did a fantastic job throughout the loan process. She was always quick to communicate. Meghan managed this complicated transaction with ease. I highly recommend and encourage others to contact Meghan and Evergreen Credit Union for their business banking and loan needs. Thank you for the great service!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I was surprised how fast you approved my car loan I went 5 days with out a vehicle after my accident.  Thank you for your timely affective decision making. I will now be a customer for life.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,1,"NEVER TRUST EVERGREEN CREDIT UNION.  My ex wife was the target of a dental scam in a foreign country. She was coerced into signing a document agreeing to an evaluation, and coerced her into charging what she told was a nominal fee for the evaluation. Instead they charged her around $500 on the Evergreen account and instead of protecting us, this is what Evergreen said...""Good morning Peter,I spoke with (ex-wife)  yesterday as you know, she told me that she found out after her visit that some of the services that dentist did were covered by her dental plan, and she believes she shouldn’t have to pay them. I am sorry she had a bad experience with them, I recommended xxxx file a complaint against the dental office. I understand she may be apprehensive to go to the police, but if you are saying these aren’t her signature this is now a legal matter.(Ex-wife) did mention reviews, reviews are not something we can use in disputes. At this time this case is closed.""",Company has responded to this review.
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,The personal concern I received from Sarah and Heidi too made all the difference. I had some debt and a family need that needed help. Heidi made a suggestion to me and Sarah followed through. Thank you Evergreen Credit Union ladies.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"The loan process was smooth and simple. Happy Alexander was excellent during the whole process. She kept me informed and updated during the entire loan process. While assisting me, she had a pleasant and friendly attitude.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Not only was my recent auto loan a smooth and speedy experience, I was in constant contact with a banking professional via email, who sent me my loan documents electronically. I was able to docusign them from my phone and I picked up the check for my vehicle purchase the very next day.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"After much research we found this credit union offered the best interest rate on an auto loan.  The branch manager who assisted us was friendly, knowledgeable and genuinely interested in helping make the experience pleasant and efficient. I would definitely recommend the credit union and look forward to doing business with them.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Isaiah was extremely helpful in answering any questions regarding the issue I encountered with my account.  He was knowledgeable, friendly, and confident he could help find a solution.  He should be used as an example for how to interact with customerts and help them through their issues.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I wanted to share how wonderful of an experience I had in securing a Home Equity loan with Justin Collett. From the first interaction till the last communication he has been responsive, informative and just a pleasure to work with. I sincerely appreciate his professionalism and knowledge in making this one of the easiest financial transactions I have ever experienced. My kudos to Justin and his team. They’re top notch and will highly be recommending them to friends and family.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Great help super nice and helpful helped me make the choice to stay with evergreen ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Rebecca was amazing, got right on the issue and helped me get documentation that I needed.  Second day when I called back, she recognized my voice and was about to check status and call me back.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Isaiah and team saved a very large loan from going somewhere else!  He stepped up to the plate, got his hands dirty to do some digging, and made it happen!  He even got the customer to sign docs while he was on his way out of the country!!!  The service and commitment to my customers and my team is amazing!  You're lucky to have him on your team!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I had a great experience with the Loan department.  The loan officer -Megan Dudley was so great . She knew what she was doing. She was professional, quick and effective. If you are looking to do a mortgage loan, call  Megan Dudley at EGFCU.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,2,We applied for a personal loan in May 2023.  We were told that we had the loan on a Monday and then on Tuesday we were told by Karen Durling that we didn’t get the loan.   We have been members for a long time and now we don’t even recommend Evergreen to anyone.,Company has responded to this review.
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I have never felt like a number, always a person. I appreciate how genuine and honest Jennel Berry from the Windham branch has treated me with all my banking needs! Thank you for all you do!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I have all of my banking with Evergreen. My car loan included. So when it came time to get a new one I really wanted to keep financing with Evergreen for my new car loan. Everyone was great and helpful and made it work. Thank you again. ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I travel for work and youbguys have always helped with any issues I have had while I go all pver the US. My brother is currently over seas and has had some issues. The Evergreen employees have always quickly help fix any issues. Once again you guys rock.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I was thrilled with the customer service I received both online and in person when I decided to get a loan through Evergreen. The staff was incredibly accommodating, friendly, and professional, and everything went very smoothly. I will definitely be doing more business with them in the future!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"A took a whole team and several days to get to the bottom of the ""PIN"" issue but they never gave up and it has been resolved through mere tenacious dedication. Chapeau!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I worked with Isaiah on a ATV loan. The entire process was very effortless, simple and fast. It took about 3 days from my first reaching out to the day I picked up my new purchase. Would definitely recommend working with them!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,JESSICA was extremely responsive and made our camper purchase very easy. As soon as I emailed her she was respond immediately! It was incredible!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Kacie Cannell is absolutely AMAZING!!She was able to get us everything we needed so our son could purchase his first vehicle. My wife and I LOVE being members of this credit union. They know me by name when I go in and go above and beyond,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Chelsey was an awesome loan officer- she took amazing care of me and made sure I had everything I needed in order to secure the loan I needed to buy my car. She was kind, friendly and super thorough!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Rebecca did a wonderful job! My problem was handled quickly, friendly, and with professionalism. Always love working with the folks at Evergreen.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,The customer representative was very helpful with our questions and the process of opening up our accounts and credit cards. The facility was cheerful and staff also friendly. We felt confident with our decision making the move to this credit union.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"This is the best financial institution I have ever dealt with. We love them, they are always behind our small business. Julie is awesome to work with and so are all the girls in our local branch.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"From the start to the finish, no hassle, easy, fast.  One of the best experiences with a banking institution I have ever had.  I would highly recommend Evergreen CU.ie, I got a RV loan, the process was done in 2 days with check in hand. WOW like I said no hassle, easy, fast.Thank you Evergreen CU",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I worked with Kacie and was referred over by Riverside Auto.  What a seamless process!! I could not be happier with the service and the smooth transaction. Highly recommend!!!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Heidi was extremely helpful through the process with me being in a tough time crunch. She made everything run as smoothly as possible for my situation and I am incredibly grateful. Thanks Heidi!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Happy was very helpful and stayed in contact with me for every step of the process of my RV purchase. Her response time was fast to any of my first-timer questions! She made the funding process race rapid! Because of work, I had to do everything via email and online. It was not daunting at all! Happy made it simple. Ever so thankful!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Sarah was promptly responsive and made the transaction so easy from beginning to end. Will definitely be working with her again! ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Applied and closed on a loan and opened two accounts in a timely manner.  Easy, helpful, friendly and professional made this a great experience.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Our loan officer, Chelsey was awesome! She was always responsive and kept us in the loop every step of the way. She made the process simple and stress free. Thank you, Chelsey and Evergreen!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"My experience was Evergreen could not have been any more positive! Members were very knowledgeable and super responsive, working hard to address some immediate and longer term financial needs. I especially appreciate the help from Jenn and Chelsey. They were amazing!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Today I had one of the best customer service experiences ever at EGCU. It was found my debit card had been compromised and needed to be replaced. I went to the credit union on Broadway in South Portland and as I stood there waiting for a new card I had a great conversation with both the teller working on my issue and another who was waiting for customers. Both were so professional, courteous, and genuinely kind. Not because that's their job but because they sincerely cared and it was apparent. Later at home I had to make a call back to the CU due to an issue updating a site with recurring billing using the new card. I experienced exactly the same level of attention and caring. There came a point where I was so overwhelmed and moved by this I asked who to reach out to there so I could be sure they received my gratitude. I have been a loyal EGCU customer for over 20 years. If anyone asked me to recommend a place to do their banking EGCU is unmatched. When I dealt with staff today I wasn't being waited on at a business. I felt like I was part of a family. Kudos to Evergreen Credit Union for providing stellar customer service and showing just how much they care about their patrons!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Awesome customer service and all done remotely. If my past credit union was as good as this, I wouldn’t be changing. Thank you Evergreen!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I stopped in to update my address and ended up getting a low rate credit card and my car loan was transferred to Evergreen so I am saving $25 a month on my car payment! Thank you Chelsea!Kelly P.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Casey was fantastic to work with throughout the loan process. She was quickly able to solve any issue I encountered, even on a weekend!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I have always received excellent customer service and pleasant people helping me. I’ve been banking with Evergreen Credit Union since I started working as a teenager and have always been happy with their service.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,I was very impressed with the car loan process with Evergreen.  From start to finish the process was very professional and they worked to make it fit my schedule!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Chelsey was wonderful! She helped me refinance my auto loan. I had no idea where to start & she told me exactly what docs I needed to get & set up all the paperwork. Plus, she's really nice! 10/10",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Judy was calm, informative, patient and lovely to speak to. She was able to find the issue and solve it quickly. I really appreciate her help!",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Joelle was fantastic. She made everything so easy. When I visited the branch to pick up the check to bring to the dealership everyone was very pleasant and helpful.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Some of the most help and friends people I know easy to find and allways smiling to see U  and good to know what I was doing ,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Chelsey was very helpful and clear. There where no surprises in regard to documents needed. A very efficient process,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,4,It took awhile but they were able to get the info I needed for an application for rides from my town to Portland.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,The people that call on the 800 fraud prevention line to alert you are terrible. The woman was so rude to me. I called the credit union it was treated properly.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Best customer service and experience at any of the EGCUs...I'm so happy to be part of the CU experience with Evergreen...,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,1,"I tried to add an outside banking source and the website stated that a transfer was made for a specific amount and to confirm the amount; however, the transfer was not made.",Company has responded to this review.
